date,monthid,yearid,weekid,h1_pos,sh3_pos,b_pos,pos_index,RSV_org,Adenovirus,paraflu12,paraflu34,RSV,temp.max,temp.mean,temp.min,relative.humidity,total.rainfall,solar.radiation,wind.speed,absolute.humidity,pressure,temp.range
2013-11-03,11,2013,44,0.0019672131147541,0.0183606557377049,0.009180327868852459,1.3058162706272602,0.0019672131147541,1.0736711558490806,0.6674172049872642,0.6964353443345397,0.08705441804181746,29.5,24.6857142857143,24.9,69.85714285714289,0.0714285714285714,15.29,26.6857142857143,15.8017428677879,1015.64285714286,4.5571428571428605
2013-11-10,11,2013,45,0.00067842605156038,0.0149253731343284,0.0122116689280868,0.9890120748793261,0.00135685210312076,0.8684008462355065,0.5306894060328105,0.5548116517615752,0.04824449145752809,27.7,24.1,23.7,81.4285714285714,3.36428571428571,9.63142857142857,32.3285714285714,17.8013348526415,1016.88571428571,3.74285714285714
2013-11-17,11,2013,46,0.0030627871362940303,0.0214395099540582,0.0038284839203675297,0.9591385458755327,0.00229709035222052,1.1405971896898224,0.7517572386592013,0.6739892484530776,0.07776799020612425,25.3,21.742857142857105,23.0,78.28571428571429,5.34285714285714,9.127142857142859,29.9,15.018052470683902,1016.2714285714301,3.64285714285714
2013-11-24,11,2013,47,0.000691562932226833,0.0172890733056708,0.0055325034578146606,0.7876818002127416,0.0020746887966805,0.9266844708385199,0.5560106825031125,0.7645146884417764,0.06950133531288907,25.8,20.985714285714298,20.6,70.0,2.35714285714286,11.9985714285714,30.5285714285714,12.878674269451098,1018.57142857143,3.7
2013-12-01,12,2013,48,0.00557966522008679,0.00867947923124613,0.00557966522008679,0.7461954178203177,0.00309981401115933,0.8627884518547408,0.7695140246272036,0.6995582042065488,0.11659303403442467,23.2,17.557142857142903,17.7,59.28571428571429,0.8,14.3314285714286,27.8714285714286,9.055754193225312,1020.18571428571,5.457142857142861
2013-12-08,12,2013,49,0.0041279669762641896,0.00980392156862745,0.0108359133126935,0.829864040608015,0.0041279669762641896,1.1583518900153544,1.0200412165806851,1.0373300507600214,0.13831067343466916,22.8,18.8142857142857,18.2,58.0,0.007142857142857141,15.068571428571401,20.4,9.4034571562948,1017.88571428571,5.371428571428571
2013-12-15,12,2013,50,0.00684618895481515,0.0100410771337289,0.0191693290734824,1.3644994150398484,0.0018256503879507102,0.7599743577437142,1.1399615366155713,0.8636072247087638,0.06908857797670133,24.9,19.1857142857143,19.8,73.5714285714286,5.114285714285709,6.9428571428571395,29.0285714285714,12.0320860971564,1016.52857142857,3.01428571428571
2013-12-22,12,2013,51,0.0142781597038604,0.0200951877313591,0.0280274986779482,2.2739451969572184,0.00211528291909043,0.9828068224137136,1.3296798185597287,1.2333262085191663,0.07708288803244807,17.2,12.942857142857099,13.1,73.4285714285714,7.51428571428571,11.077142857142901,30.0142857142857,8.2934446030972,1020.64285714286,4.15714285714286
2013-12-29,12,2013,52,0.0234252993232691,0.0380010411244144,0.0213430504945341,2.7780789911379977,0.00364393545028631,0.5241658473845294,0.5940546270357987,0.7862487710767941,0.12230536438972321,17.9,13.8,13.4,51.571428571428605,0.0,14.2957142857143,25.142857142857103,6.19073585212876,1022.51428571429,5.17142857142857
2014-01-05,1,2014,1,0.0429759704251386,0.0512939001848429,0.0295748613678373,5.568273982421055,0.00277264325323475,0.8103085272926177,1.1219656531743898,0.7479771021162614,0.12466285035271023,22.5,16.6428571428571,17.2,57.428571428571395,0.0,14.128571428571401,15.3857142857143,8.23326878050379,1018.85714285714,5.21428571428571
2014-01-12,1,2014,2,0.0953565505804312,0.0580431177446103,0.0451907131011609,8.69042443067526,0.0024875621890547302,0.5987140004431807,0.45357121245695514,0.5442854549483488,0.10885709098966934,21.5,16.8,16.5,76.0,0.0214285714285714,10.3157142857143,28.042857142857102,10.9215111078568,1020.98571428571,3.7714285714285696
2014-01-19,1,2014,3,0.107932379713914,0.0624187256176853,0.0450801907238838,11.404449064019168,0.00173385348938015,0.6425041726207973,0.9408096813375978,0.7801836381824011,0.09178631037439997,19.7,14.357142857142902,13.5,64.85714285714289,0.0,15.872857142857098,25.8714285714286,7.98650407574433,1024.64285714286,5.18571428571429
2014-01-26,1,2014,4,0.117806102742372,0.0652761684047895,0.0490536886828891,11.754878933916798,0.00772499034376207,0.3911773355712738,0.8997078718139317,0.6258837369140375,0.3911773355712738,24.4,15.842857142857099,16.5,61.28571428571429,0.0,16.53,23.5,8.48266803378003,1021.78571428571,5.9
2014-02-02,2,2014,5,0.11995515695067299,0.0639013452914798,0.0668908819133034,12.122792574904611,0.004484304932735429,0.3071348342375235,1.0117382774883112,0.5420026486544548,0.21680105946178138,23.8,18.528571428571396,18.3,76.0,0.0,16.9942857142857,14.6142857142857,12.1009423299785,1018.0428571428599,5.51428571428571
2014-02-09,2,2014,6,0.129520052596976,0.0581854043392505,0.0664036817882972,15.128760119682475,0.00394477317554241,0.528430172356308,1.1351462961728105,0.8807169539271789,0.23485785438058168,24.6,17.985714285714298,18.1,84.8571428571429,1.94285714285714,9.37857142857143,24.428571428571402,13.0042805749336,1011.98571428571,4.51428571428571
2014-02-16,2,2014,7,0.15649149922720199,0.0649149922720247,0.0699381761978362,10.345062104771701,0.00811437403400309,0.5762501437671254,0.7820537665411004,0.8232144910958925,0.2881250718835624,15.4,10.2428571428571,13.3,79.5714285714286,3.1785714285714306,4.98714285714286,30.3142857142857,7.67165617324772,1020.02857142857,3.11428571428571
2014-02-23,2,2014,8,0.149704758596735,0.0715526224383466,0.0927405349079542,14.819527808526459,0.0114623133032303,0.7540910168055508,0.8852372805978196,1.2786760719746255,0.5409783381431125,21.5,14.5142857142857,15.3,78.8571428571429,0.578571428571429,13.6714285714286,30.3857142857143,10.0577307000074,1021.57142857143,5.81428571428571
2014-03-02,3,2014,9,0.142609299097849,0.0617626648160999,0.10097154753643302,14.634101585437477,0.0159611380985427,0.5986677921315324,0.9146313490898438,1.1474466015854417,0.7649644010569595,24.1,18.971428571428604,18.7,87.1428571428571,0.11428571428571402,10.3171428571429,23.3,14.2125110789116,1017.47142857143,3.9285714285714306
2014-03-09,3,2014,10,0.0910174880763116,0.0520667726550079,0.115659777424483,9.69883312835588,0.0190779014308426,0.47674755776864713,0.9534951155372943,1.2067672556018851,0.7151213366529687,18.2,15.5857142857143,15.9,88.7142857142857,0.19285714285714303,4.2,33.9428571428571,11.793443007739802,1018.7714285714301,1.54285714285714
2014-03-16,3,2014,11,0.0501438553226469,0.032059186189889,0.118372379778052,11.086949983851433,0.0291820797369503,0.6361364744832764,1.2722729489665527,1.8856902636468595,1.613060346011172,22.2,16.928571428571402,19.0,78.5714285714286,0.17142857142857096,6.447142857142861,29.257142857142895,11.360546398305098,1019.78571428571,3.2
