pred,actual
1.3831308974306085,1.328996266675504
1.4133454970004908,1.7272239414125632
1.6319530469697945,1.631293649849615
1.7058841153997037,1.8997192325806795
1.8253643659907053,2.512729225682005
2.3069323109914404,2.4649134969419664
2.5025246281260203,1.2407206722282234
1.603466420970996,1.607219312979612
1.3096053789656223,1.355424078578913
1.3757838975756567,1.6419830255770052
1.5910156156908146,1.7517571638217364
1.7646219374444554,1.5252582770682517
1.6277192346732434,1.5755347269376263
1.5360993338964462,1.7357403169760148
1.6664182056259136,1.5238973113705898
1.6139951499649599,1.286981241570593
1.363801360672744,1.0800785475889982
1.1264121236028724,0.977268881452191
1.0148737467830833,0.8966357800530611
0.9677883549740699,1.0735829215791326
1.0823571859983852,0.9524046347589346
1.0798906211246044,1.222782664276684
1.2038271222124841,0.857727466126348
1.0526259894878458,1.2993009761620864
1.1972818015379734,0.8481025734512168
1.0694248016848495,0.7529009859308927
0.8361224596020544,0.5823126272253552
0.6776935050985189,0.7160859283749463
0.7459787831685734,0.812910371550846
0.8946392146406639,0.6792636439523726
0.8453498391203259,0.9994850625944408
0.980890600344335,1.001456443611882
1.0997582974219617,0.8487981437668964
0.9930274366668708,1.3818265977795474
1.2596747103971346,0.9712257405534256
1.1977678217677679,1.1528942200047574
1.1442225125439895,1.2617398204068473
1.2621570633676336,1.21711529386276
1.2974383312092614,1.3375055240199187
1.3468855156312598,1.0744122129388256
1.2031720712574125,0.9091967294085804
0.9866920592709841,1.3519454964503546
1.2273628000938395,0.7707484941578812
1.051363014741373,0.8295888340169622
0.8557507405000699,1.2392942158089777
1.1393221756489502,1.0125247093553735
1.1958855179391614,0.988704318135844
1.0720758435338285,1.1358791045180954
1.122699816785099,0.783162355328462
0.9638864921104889,0.7737031814891256
0.8259463611166955,0.6061730276189663
0.7184235502002826,0.9419879831401944
0.9100553214566123,1.0194146882171813
1.10969791915798,1.5577068349786485
1.485753231420616,1.6241923765203587
1.695240334942328,1.9485281567295292
1.8847708840752244,3.02743919714835
2.672670854754094,3.207516541154657
3.183852475966376,3.3277183247456747
3.2333364888075473,4.004414204047859
3.6055293406804925,3.981115116699394
3.8257859800172778,4.902738075189355
4.404091231484549,3.2065598393561334
3.5625714900656837,4.251931807597147
3.523475046253757,4.828222124049952
4.361052236611687,3.864920658089542
4.050838472642932,3.5767737137740463
3.367373218838047,3.1176968843441584
2.90906919184735,2.2962377683254616
2.306694844262651,2.4646121570176005
2.1956928057649288,1.4388903277792136
1.6707509265010079,0.8251393456702139
0.9239811950282576,0.8324857399981372
0.7378688421823798,0.3865891897166953
0.5774831645629195,0.3532664034698751
0.4566248753652278,0.2426385952476473
0.3850806333555754,0.3523548196011408
0.44400417474138854,0.1761585330867624
0.38282802871558586,0.2263320336357843
0.34566830095225387,0.142400116969923
0.30733455160707335,0.2373697742677602
0.35033257998252454,0.2038950005681784
0.3691876514657091,0.2827433294185214
0.4074270109404934,0.4567606294196334
0.5462699793556995,0.6933417131624603
0.7679706092878239,0.4016087792843673
0.6470533629885634,0.20138031823844
0.3629107145937016,0.3397127449710866
0.3713578771692301,0.4289762067414375
0.5329596690622433,0.5484359169991614
0.6685289944657145,0.6572875429785562
0.7619107915078609,0.8774848703366593
0.9236900322103109,0.5498821208983462
0.7719823002159684,0.3475040332758638
0.4855322505937145,0.3960643569617045
0.44041758332505143,0.6439419423301667
0.675048481160199,0.6391075415003861
0.7943579173440967,0.6607688160698392
0.7791551422592631,0.7247950056577435
0.7952382778467767,0.8461693126919908
0.8985472198366282,0.7733578434575763
0.8982023547609079,1.2867309574148849
