date,monthid,yearid,weekid,RSV_org,Adenovirus,RSV
2004-07-04,7,2004,27,0.0305206463195691,1.4312779224567247,1.0138218617401797
2004-07-11,7,2004,28,0.0543859649122807,3.683437875350327,2.482316829040438
2004-07-18,7,2004,29,0.0416024653312789,1.121998396949081,2.0195971145083447
2004-07-25,7,2004,30,0.0304232804232804,2.3253320466942755,1.4856288076102309
2004-08-01,8,2004,31,0.0437235543018336,2.215845250203041,1.962605793036982
2004-08-08,8,2004,32,0.0499219968798752,1.467756425547004,2.1349184371592784
2004-08-15,8,2004,33,0.0627062706270627,2.2412837310221096,2.661524430588755
2004-08-22,8,2004,34,0.0565149136577708,1.6641169669862566,2.139578957553756
2004-08-29,8,2004,35,0.0367504835589942,1.0209818160323838,1.3856181789010902
2004-09-05,9,2004,36,0.0810276679841897,3.372962956982745,2.659451562236403
2004-09-12,9,2004,37,0.07339449541284401,1.8476253397198161,3.2132614603822893
2004-09-19,9,2004,38,0.0382608695652174,1.2700558811503315,1.7463268365817086
2004-09-26,9,2004,39,0.0650263620386643,1.9312848838332142,2.1016923735832047
2004-10-03,10,2004,40,0.0688888888888889,1.694644284572344,2.9185540456523706
2004-10-10,10,2004,41,0.0751565762004175,3.156472069380197,2.525177655504157
2004-10-17,10,2004,42,0.0458715596330275,2.5553881966315237,1.6486375462138845
2004-10-24,10,2004,43,0.0224719101123595,2.708667736757624,0.8025682182985533
2004-10-31,10,2004,44,0.0205479452054795,4.474691899007588,0.8754831976319241
2004-11-07,11,2004,45,0.0162412993039443,3.650538765221598,0.5678615857011394
2004-11-14,11,2004,46,0.0114155251141553,4.598228659149417,0.41802078719540253
2004-11-21,11,2004,47,0.0043010752688172,3.6457235223838564,0.14582894089535425
2004-11-28,11,2004,48,0.00905797101449275,4.019939754218536,0.3465465305360805
2004-12-05,12,2004,49,0.0168776371308017,4.628480553027588,0.6496113056880832
2004-12-12,12,2004,50,0.0087719298245614,4.489657241695784,0.3265205266687849
2004-12-19,12,2004,51,0.00208768267223382,3.5575626591314995,0.07569282253471271
2004-12-26,12,2004,52,0.0118764845605701,2.9940080284112685,0.4829045207114964
2005-01-02,1,2005,1,0.00497512437810945,1.614625675947459,0.2152834234596611
2005-01-09,1,2005,2,0.0,2.5725038408256173,0.0
2005-01-16,1,2005,3,0.00255754475703325,2.9663510599072285,0.08017165026776298
2005-01-23,1,2005,4,0.00945626477541371,2.9743610081100904,0.39658146774801223
2005-01-30,1,2005,5,0.00806451612903226,2.3277543392931483,0.3325363341847356
2005-02-06,2,2005,6,0.0418604651162791,3.709536894310033,1.6285771731117233
2005-02-13,2,2005,7,0.0514905149051491,1.215704412013275,2.099853075295661
2005-02-20,2,2005,8,0.0598911070780399,2.9992595935809594,2.1058631188972683
2005-02-27,2,2005,9,0.0538793103448276,2.8438759674790384,2.5391749709634275
2005-03-06,3,2005,10,0.042910447761194,4.588655231716523,2.4543969844065114
2005-03-13,3,2005,11,0.0506970849176172,3.8583886003115953,3.9573216413452235
2005-03-20,3,2005,12,0.0619469026548673,3.5175633856343986,5.183777620934906
2005-03-27,3,2005,13,0.082579185520362,2.9485228747101875,6.726317807932622
2005-04-03,4,2005,14,0.0989795918367347,1.017606059622868,8.2256489819515
2005-04-10,4,2005,15,0.0908059023836549,4.973112882367053,6.216391102958816
2005-04-17,4,2005,16,0.082004555808656,2.2965915205253045,5.010745135691568
2005-04-24,4,2005,17,0.0576519916142558,3.6666033128297304,3.6666033128297304
2005-05-01,5,2005,18,0.0594170403587444,4.394853150254294,4.0864424028680295
2005-05-08,5,2005,19,0.0544747081712062,2.2593243563577907,4.36283323986332
2005-05-15,5,2005,20,0.0527240773286467,2.4636037299611093,4.223320679933332
2005-05-22,5,2005,21,0.07130434782608701,3.5385647402161786,6.045048097869311
2005-05-29,5,2005,22,0.0426917510853835,3.174181838436334,3.8219740503621185
2005-06-05,6,2005,23,0.049469964664311,3.6817676272437567,4.295395565117718
2005-06-12,6,2005,24,0.0413983440662374,2.6137430168541647,2.8004389466294675
2005-06-19,6,2005,25,0.0659340659340659,3.048402143028311,4.014968676183623
2005-06-26,6,2005,26,0.0533807829181495,4.327943128122334,3.245957346091753
2005-07-03,7,2005,27,0.0545212765957447,2.2542382523609046,3.1870264947171454
2005-07-10,7,2005,28,0.058252427184465994,6.369039272133389,3.513952701866684
2005-07-17,7,2005,29,0.0721040189125296,4.187410752190185,2.717362296634061
2005-07-24,7,2005,30,0.0570342205323194,3.707133544692238,2.527591053199255
2005-07-31,7,2005,31,0.100299401197605,4.703096474003121,3.3169206711390604
2005-08-07,8,2005,32,0.0847457627118644,8.381679325330694,3.687938903145509
2005-08-14,8,2005,33,0.0538720538720539,4.821014776767012,2.172851730373857
2005-08-21,8,2005,34,0.0613382899628253,4.40271892272767,2.741315555660625
2005-08-28,8,2005,35,0.0512820512820513,3.5726405234081264,2.5518860881486622
2005-09-04,9,2005,36,0.0525394045534151,3.2293723838978483,2.4220292879233885
2005-09-11,9,2005,37,0.0833333333333333,2.815924538770983,4.369538077403248
2005-09-18,9,2005,38,0.0506993006993007,2.5388255277845193,2.3750303324435826
2005-09-25,9,2005,39,0.0351145038167939,2.2392943751510583,1.661411955757236
2005-10-02,10,2005,40,0.0367892976588629,2.528121165197315,1.9863809155121768
2005-10-09,10,2005,41,0.0205761316872428,1.9974673920979515,0.966516480047397
2005-10-16,10,2005,42,0.0141732283464567,1.7540031966738927,0.5846677322246309
2005-10-23,10,2005,43,0.00824175824175824,3.8933288933288965,0.38295038295038314
